Wind X: 0.3,	 Wind Y: 0.3,	 Fire at: 444
Wind X: 0.3,	 Wind Y: 0.4,	 Fire at: 537
Wind X: 0.3,	 Wind Y: 0.5,	 Fire at: 652
Wind X: 0.4,	 Wind Y: -0.5,	 Fire at: 202
Wind X: 0.4,	 Wind Y: -0.4,	 Fire at: 206
Wind X: 0.4,	 Wind Y: -0.3,	 Fire at: 229
Wind X: 0.4,	 Wind Y: -0.2,	 Fire at: 253
Wind X: 0.4,	 Wind Y: -0.1,	 Fire at: 256
Wind X: 0.4,	 Wind Y: 0.0,	 Fire at: 302
Wind X: 0.4,	 Wind Y: 0.1,	 Fire at: 349
Wind X: 0.4,	 Wind Y: 0.2,	 Fire at: 376
Wind X: 0.4,	 Wind Y: 0.3,	 Fire at: 453
Wind X: 0.4,	 Wind Y: 0.4,	 Fire at: 550
Wind X: 0.4,	 Wind Y: 0.5,	 Fire at: 705
Wind X: 0.5,	 Wind Y: -0.5,	 Fire at: 203
Wind X: 0.5,	 Wind Y: -0.4,	 Fire at: 206
Wind X: 0.5,	 Wind Y: -0.3,	 Fire at: 251
Wind X: 0.5,	 Wind Y: -0.2,	 Fire at: 254
Wind X: 0.5,	 Wind Y: -0.1,	 Fire at: 300
Wind X: 0.5,	 Wind Y: 0.0,	 Fire at: 306
Wind X: 0.5,	 Wind Y: 0.1,	 Fire at: 354
Wind X: 0.5,	 Wind Y: 0.2,	 Fire at: 449
Wind X: 0.5,	 Wind Y: 0.3,	 Fire at: 502
Wind X: 0.5,	 Wind Y: 0.4,	 Fire at: 651
Wind X: 0.5,	 Wind Y: 0.5,	 Fire at: 895
